224 1f
230 1e
025 0e
024 0d
2A4 33
3A0 65
621 03 27
63D 03 26
624 03 25
63C 03 24
4C3 03 23
632 03 22
623 03 21
630 03 20
4C1 03 1f
622 03 1e
680 03 1d
635 03 1c
626 03 1b
638 03 1a
4A2 01 8c
4A0 01 8b
49C 01 8a
4A1 01 89
4AD 01 88
498 01 87
4A7 01 86
353 c2
3F9 c1
4C6 03 03
38B 03 02
3BC 03 01
380 03 00
127 0b
421 02 bf
3B9 02 be
640 02 bd
3A1 02 bc
4DC 02 bb
4DD 02 ba
420 02 b9
399 02 b8
3BB 02 b7
4C8 02 b6
3B0 02 b5
423 02 b4
39B 02 b3
3B1 02 b2
4A8 01 58
361 2a
49D 01 4f
499 01 4e
4AF 01 4d
4AE 01 4c
49A 01 4b
49B 01 4a
4AC 01 49
3D3 01 48
620 a3
6C0 a2
3B7 a1
394 a0
260 09
38A 02 3f
383 04 7d
382 08 f9
612 08 f8
3B6 01 1e
440 8e
44D 8d
442 8c
45C 8b
611 01 15
060 04 53
600 04 52
381 04 51
614 04 50
633 01 13
4A6 01 12
610 88
320 10
1C4 07
245 06
247 05
0B4 04
0AA 01
020 00
