0AA,9.66%
020,9.66%
025,9.54%
024,9.51%
127,6.97%
260,5.74%
1C4,4.89%
247,4.84%
245,4.84%
224,4.83%
0B4,4.83%
230,4.82%
320,2.41%
2A4,2.4%
361,1.76%
3A0,1.08%
3F9,0.45%
353,0.45%
620,0.42%
6C0,0.41%
3B7,0.38%
394,0.38%
440,0.35%
45C,0.34%
44D,0.34%
442,0.34%
610,0.25%
4AD,0.23%
4A7,0.23%
4A2,0.23%
4A1,0.23%
4A0,0.23%
49C,0.23%
498,0.23%
4AF,0.22%
4AE,0.22%
4A8,0.22%
49D,0.22%
49B,0.22%
49A,0.22%
499,0.22%
4AC,0.21%
3D3,0.21%
3B6,0.16%
611,0.14%
633,0.13%
4A6,0.13%
680,0.12%
63D,0.12%
63C,0.12%
638,0.12%
635,0.12%
632,0.12%
630,0.12%
626,0.12%
624,0.12%
623,0.12%
622,0.12%
621,0.12%
4C3,0.12%
4C1,0.12%
640,0.11%
4DD,0.11%
4DC,0.11%
4C8,0.11%
4C6,0.11%
423,0.11%
421,0.11%
420,0.11%
3BC,0.11%
3BB,0.11%
3B9,0.11%
3B1,0.11%
3B0,0.11%
3A1,0.11%
39B,0.11%
399,0.11%
38B,0.11%
380,0.11%
38A,0.1%
383,0.05%
600,0.04%
060,0.04%
381,0.03%
614,0.02%
612,0.02%
382,0.02%
