38B,09,C4,07,32,A1,1D,00,
38B,0A,0A,08,33,A1,1D,00,
38B,0A,3B,08,33,21,1D,00,
38B,0A,32,08,33,21,1D,00,
38B,0A,02,08,33,A1,1E,00,
38B,09,DB,07,33,A1,1D,00,
38B,09,8F,07,32,21,1D,00,
38B,09,71,07,32,21,1D,00,
38B,09,41,07,31,A1,1F,00,
38B,09,23,07,31,A1,1F,00,
38B,00,00,00,00,21,1F,00,
38B,00,00,00,00,21,1F,00,
38B,00,00,00,00,A1,1F,00,
38B,00,00,00,00,A1,1F,00,
38B,00,00,00,00,21,1F,00,
38B,00,00,00,00,21,22,00,
38B,00,00,00,00,A1,25,00,
38B,00,00,00,00,21,24,00,
38B,00,00,00,00,21,25,00,
38B,07,40,05,29,A1,23,00,
38B,08,75,06,2B,A1,24,00,
38B,09,1E,06,2D,21,23,00,
38B,09,8D,07,2E,21,20,00,
38B,0A,0D,07,30,A1,25,00,
38B,0A,32,07,30,A1,27,00,
38B,0A,42,07,30,21,27,00,
38B,0A,3A,07,31,21,26,00,
38B,0A,05,07,31,A1,21,00,
38B,09,CC,07,31,A1,20,00,
38B,09,8F,07,30,21,1B,00,
38B,09,62,07,30,21,21,00,
38B,09,3C,07,31,A1,23,00,
38B,09,0C,07,30,21,23,00,
38B,08,DF,06,2F,21,23,00,
38B,00,00,00,00,A1,23,00,
38B,00,00,00,00,A1,23,00,
38B,00,00,00,00,21,23,00,
38B,00,00,00,00,21,23,00,
38B,00,00,00,00,A1,24,00,
38B,00,00,00,00,A1,24,00,
38B,00,00,00,00,21,24,00,
38B,00,00,00,00,21,23,00,
38B,02,CE,05,2A,A1,24,00,
38B,07,79,06,2A,A1,24,00,
38B,08,ED,06,2C,21,24,00,
38B,09,6F,07,2E,21,24,00,
38B,09,D4,07,2F,A1,23,00,
38B,0A,16,07,30,21,22,00,
38B,0A,1A,07,30,21,22,00,
38B,09,EE,07,30,A1,22,00,
38B,09,CC,07,30,A1,22,00,
38B,09,8C,07,30,21,22,00,
38B,09,6F,07,30,21,26,00,
38B,09,3F,07,30,A1,25,00,
38B,09,26,07,30,A1,22,00,
38B,09,01,06,2F,21,21,00,
38B,08,F0,06,2F,21,1C,00,
38B,08,D6,06,2F,A1,23,00,
38B,08,C8,06,2F,A1,22,00,
38B,08,B7,06,2F,21,23,00,
38B,08,A9,06,2E,21,22,00,
38B,00,00,00,00,A1,24,00,
38B,00,00,00,00,21,24,00,
38B,00,00,00,00,21,24,00,
38B,00,00,00,00,A1,22,00,
38B,00,00,00,00,A1,22,00,
38B,00,00,00,00,21,22,00,
38B,00,00,00,00,21,23,00,
38B,00,00,00,00,A1,22,00,
38B,05,ED,06,28,A1,22,00,
38B,08,71,06,2A,21,22,00,
38B,09,07,06,2B,21,23,00,
38B,09,9C,07,2D,A1,23,00,
38B,09,F6,07,2E,A1,23,00,
38B,0A,41,07,2F,21,24,00,
38B,0A,54,07,2F,21,23,00,
38B,0A,46,07,2F,A1,22,00,
38B,0A,26,07,2F,21,22,00,
38B,0A,02,07,2F,21,23,00,
38B,09,EA,07,2F,A1,23,00,
38B,09,CE,07,2F,A1,1E,00,
38B,09,A3,07,2E,21,23,00,
38B,09,75,07,2E,21,22,00,
38B,09,4D,06,2E,A1,22,00,
38B,09,2D,06,2E,A1,22,00,
38B,09,08,06,2E,21,2A,00,
38B,08,E8,06,2D,21,26,00,
38B,08,C7,06,2D,A1,22,00,
38B,08,A9,06,2C,A1,20,00,
38B,08,9B,06,2C,21,1D,00,
38B,00,00,00,00,21,1F,00,
38B,00,00,00,00,A1,23,00,
38B,00,00,00,00,21,23,00,
38B,00,00,00,00,21,23,00,
38B,00,00,00,00,A1,22,00,
38B,00,00,00,00,A1,22,00,
38B,00,00,00,00,21,22,00,
38B,00,00,00,00,21,22,00,
38B,07,4F,05,27,A0,22,00,
38B,08,6B,05,28,A0,22,00,
