1
2A 16879
2B 13726
29 10236
2C 6959
28 6551
2D 5269
27 3317
26 2007
25 1709
24 1355
2F 1160
2E 1038
23 930
31 882
1A 806
22 762
21 720
1E 622
30 566
1F 549
20 517
1C 397
1D 379
1B 216
type_num: 24
2
6F 1053
65 434
6B 434
74 397
7B 382
F1 379
04 367
6E 366
4D 365
52 364
24 359
56 358
FE 358
05 357
90 357
79 357
ED 356
6A 356
81 355
36 354
DD 350
63 349
4B 349
67 348
0A 347
73 346
E9 345
28 343
84 343
88 343
B4 341
76 341
8B 340
5E 340
CC 340
77 340
7D 339
5C 339
68 338
7C 338
19 337
D4 337
1D 337
51 336
2A 336
33 336
0F 334
A7 334
02 333
21 333
58 332
70 332
1B 332
6C 331
3F 330
E4 330
89 330
C7 330
DF 330
AC 330
80 328
27 328
62 327
86 327
EB 326
72 325
3B 325
54 324
F6 323
45 323
BB 322
D9 322
83 320
38 320
0D 319
9B 319
18 318
31 318
0E 317
C2 317
F4 316
F7 315
13 315
7A 315
C0 315
AE 314
B6 314
66 313
7E 313
71 313
69 313
09 312
78 312
C4 312
FA 312
01 311
A5 310
41 310
4A 310
F8 309
DB 309
EE 308
E1 308
6D 308
2C 307
3C 307
B1 307
75 306
BD 306
55 306
47 306
43 305
82 305
60 305
8D 305
42 304
5A 304
D1 304
35 304
96 304
E5 303
17 303
30 302
E2 302
BF 302
4F 300
CE 300
9E 300
93 299
15 298
B8 297
8F 297
D0 297
A0 296
A2 296
61 295
A9 295
2B 294
0C 294
48 294
A4 294
2E 294
12 293
D8 292
F9 292
5D 292
39 292
5B 292
D7 291
0B 290
1F 289
3A 289
26 289
57 289
E0 288
EA 288
CD 288
14 287
5F 287
F3 287
FC 286
3D 286
59 286
46 285
E6 285
8E 285
98 283
8C 282
40 282
64 282
37 280
4E 280
CB 280
9D 280
22 279
C3 279
F2 279
FF 279
1E 279
06 279
07 278
2F 278
95 278
C5 278
44 278
94 278
D6 278
E7 277
3E 277
DA 277
BC 277
50 277
EF 276
BA 276
00 276
92 276
D2 276
E3 276
23 275
C9 274
E8 273
16 273
F5 271
87 271
AB 271
C6 271
11 271
08 271
9A 271
B0 270
8A 270
34 268
53 268
DC 268
B9 268
2D 267
49 267
